high,low,volume,close,open,time
291.05,290.04,119631.0,290.93,290.39,1653001200
294.69,292.66,140382.0,294.17,293.78,1653033600
294.89,293.71,91131.0,293.89,294.07,1653037200
294.26,293.51,77869.0,293.55,293.91,1653040800
294.81,293.2,720821.0,294.1,293.63,1653044400
294.11,289.363,480027.0,293.29,294.01,1653048000
293.8,291.23,10295086.0,292.44,293.3,1653051600
292.8,287.5801,9656621.0,287.74,292.44,1653055200
288.15,285.601,11427376.0,286.12,287.75,1653058800
286.31,281.2401,11275345.0,282.2823,286.09,1653062400
283.7,280.21,10832726.0,283.1,282.25,1653066000
283.87,280.88,10563033.0,282.5898,283.145,1653069600
288.84,281.55,20057106.0,288.54,282.6,1653073200
289.0,287.74,4679170.0,288.6,288.54,1653076800
288.7,288.21,964669.0,288.52,288.67,1653080400
288.59,288.24,78243.0,288.5,288.5,1653084000
290.0,288.53,97789.0,288.95,288.53,1653087600
292.66,289.4,149527.0,290.03,291.86,1653292800
291.08,289.65,95556.0,289.98,289.84,1653296400
291.85,289.87,97729.0,291.8,290.03,1653300000
291.85,290.21,500020.0,290.6099,291.72,1653303600
291.45,288.896,489673.0,290.0,290.68,1653307200
292.005,288.1306,10720532.0,289.0,290.08,1653310800
291.13,287.29,12827552.0,289.58,289.03,1653314400
292.93,289.22,7210398.0,292.3,289.61,1653318000
293.84,291.6984,5307592.0,292.165,292.3104,1653321600
292.97,290.5401,4398593.0,292.61,292.18,1653325200
293.87,292.07,5088392.0,292.4467,292.62,1653328800
293.59,291.5,10939340.0,293.44,292.46,1653332400
294.38,293.39,2585319.0,293.94,293.43,1653336000
293.96,289.4,1629113.0,289.62,293.96,1653339600
293.48,288.21,1124721.0,289.73,289.9,1653343200
289.98,289.24,292235.0,289.84,289.76,1653346800
288.36,287.08,142861.0,287.38,287.69,1653379200
288.52,287.31,180542.0,288.39,287.31,1653382800
288.8,288.08,105010.0,288.37,288.34,1653386400
289.49,288.3,367250.0,288.42,288.5,1653390000
293.7,287.85,539947.0,288.62,288.53,1653393600
288.9,284.67,8902865.0,284.75,288.72,1653397200
284.78,282.25,13225663.0,283.5,284.76,1653400800
286.18,283.15,9019163.0,285.46,283.507,1653404400
287.89,284.43,8339110.0,285.2852,285.46,1653408000
286.8391,283.9,6114349.0,286.195,285.26,1653411600
287.685,284.09,6915623.0,284.77,286.29,1653415200
288.47,284.63,14128793.0,287.25,284.75,1653418800
288.14,287.12,4677314.0,287.98,287.26,1653422400
288.21,287.68,82174.0,288.0,287.95,1653426000
289.02,287.94,208692.0,288.8601,287.94,1653429600
289.36,288.78,227723.0,289.06,288.88,1653433200
289.5,286.8,106684.0,287.41,289.5,1653465600
287.68,286.17,58778.0,287.34,287.3,1653469200
287.82,286.53,93381.0,286.64,287.4,1653472800
286.94,284.7,381824.0,285.2,286.63,1653476400
287.455,284.61,668031.0,285.66,285.25,1653480000
289.09,285.45,9802229.0,287.82,285.71,1653483600
290.84,286.59,11971897.0,289.62,287.82,1653487200
290.19,288.06,5868204.0,289.055,289.66,1653490800
289.485,287.43,4052141.0,288.67,289.03,1653494400
289.38,287.5399,3296475.0,288.88,288.63,1653498000
291.96,287.0,13790527.0,291.81,288.875,1653501600
293.39,290.11,13754870.0,291.36,291.825,1653505200
291.48,288.01,3286043.0,289.93,291.31,1653508800
291.26,289.0,203449.0,289.7,289.76,1653512400
290.58,289.89,210928.0,290.38,289.95,1653516000
290.65,289.87,114540.0,289.92,290.47,1653519600
291.95,289.52,109097.0,290.02,291.25,1653552000
291.11,289.67,72038.0,290.95,289.96,1653555600
291.65,290.59,95943.0,291.34,291.0,1653559200
293.05,291.22,553134.0,292.0,291.29,1653562800
292.47,291.01,476170.0,292.05,292.02,1653566400
295.66,290.15,8506938.0,295.385,291.99,1653570000
297.37,294.95,9738425.0,297.34,295.4,1653573600
298.4,297.01,5852745.0,298.15,297.34,1653577200
300.35,297.79,6033225.0,300.317,298.1799,1653580800
300.92,299.48,5246274.0,300.34,300.31,1653584400
300.66,299.595,5545174.0,300.04,300.34,1653588000
300.73,298.27,13109760.0,299.31,300.03,1653591600
299.38,298.61,3656556.0,298.85,299.31,1653595200
299.01,298.8,64035.0,298.8,298.8,1653598800
299.81,298.7,155212.0,299.36,298.78,1653602400
299.81,299.32,59382.0,299.6,299.36,1653606000
301.05,298.62,93717.0,300.81,299.26,1653638400
301.65,300.14,64576.0,301.38,300.59,1653642000
301.34,300.46,106954.0,301.12,301.34,1653645600
301.24,299.7,205472.0,299.78,301.15,1653649200
303.2,299.64,1324096.0,302.8,299.79,1653652800
305.55,301.9,11456480.0,305.275,302.78,1653656400
307.0418,304.85,11661577.0,305.55,305.26,1653660000
307.17,304.93,7214771.0,307.03,305.58,1653663600
307.49,306.22,5300907.0,306.865,307.05,1653667200
307.19,306.41,5284689.0,306.925,306.85,1653670800
